StarID,Hip,HD,HR,Gliese,BayerFlamsteed,ProperName,RA,Dec,Distance,Mag,AbsMag,Spectrum,ColorIndex
9336, 13324, 17778, , ,,,2.85807625,+13.49328598,373.134328358209, 8.89,1.03067397014395,K0          , 1.118
9337, 13326, 17806, , ,,,2.85818288,+00.08632905,263.157894736842, 7.70,0.598917983084052,K0V         , 1.158
9338, 13327, 17769, 847,, 43Sig Ari, ,2.85821331,+15.08212726,147.058823529412, 5.52,-0.317455436468818,B7V         ,-0.099
9339, 13328, 17709, 843,, 17    Per, ,2.85856414,+35.05989415,125.470514429109, 4.56,-0.932708393019439,K5III       , 1.554
9340, 13330, 17443, , ,,,2.85909767,+67.81506714,341.296928327645, 8.74,1.07433810177055,B9V         , 0.306
9341, 13332, 17796, , ,,,2.85988517,+07.54999454,200, 8.44,1.9348500216801,G5          , 1.092
9342, 13333, 18120, , ,,,2.85998677,-63.54061374,284.090909090909, 6.58,-0.687286682609344,K2/K3IIICN. , 1.226
9343, 13336, 17647, , ,,,2.86087506,+45.98006404,62.6959247648903, 8.66,4.673803436966,G5V         , 0.703
9344, 13337, 17768, , ,,,2.86124535,+19.31006678,411.522633744856, 8.36,0.288031367991561,K5          , 1.691
9345, 13338, , , ,,,2.86153083,+61.14611796,232.018561484919, 8.46,1.63238635080366,K0V         , 1.130
9346, 13339, 17656, 842,,          , ,2.86159789,+46.84200204,121.802679658952, 5.86,0.431715785597205,G8III       , 0.903
9347, 13340, 17708, , ,,,2.8617575,+38.90144278,192.678227360308, 8.87,2.44583678924229,F5          , 0.472
9348, 13341, 18025, , ,,,2.86186818,-52.55923001,89.9280575539568, 8.35,3.58052393623019,G3V         , 0.655
9349, 13342, , , ,,,2.86192465,+10.64534718,27.6090557702927,10.01,7.8047422298902,M0          , 1.190
9350, 13343, 17671, , ,,,2.8620036,+45.05977592,653.59477124183, 7.92,-1.15654284591201,K5          , 1.650
9351, 13345, , , ,,,2.86234278,-08.26929762,30.2938503483793, 9.82,7.41322762165156,K7V         , 1.216
9352, 13347, 17581, 839,,          , ,2.86275449,+58.31429743,87.4125874125874, 6.46,1.75213012228503,A1m         , 0.104
9353, 13349, 17881, , ,,,2.86281232,-21.28974518,234.741784037559, 8.18,1.32704799551359,G3IV        , 0.756
9354, 13351, 17622, , ,,,2.86316053,+53.03183247,127.226463104326, 6.91,1.38711273019704,K2          , 1.337
9355, 13352, 17720, , ,,,2.86318165,+40.13725702,268.096514745308, 8.19,1.04854415904344,G5          , 0.899
9356, 13353, 17945, , ,,,2.86368884,-38.07586634,120.481927710843, 8.32,2.91539046188037,F5V         , 0.495
9357, 13354, 17898, , ,,,2.86378889,-23.17642492,432.900432900433, 8.79,0.608059899460722,G8IV        , 0.993
9358, 13355, 17880, , ,,,2.86383103,-17.25114168,628.930817610063, 8.11,-0.883014378397743,K3/K4III    , 1.472
9359, 13356, 17760, , ,,,2.86409231,+27.27390640,367.647058823529, 7.91,0.0828445201709949,A0          , 0.053
9360, 13357, , , ,,,2.86436357,-50.41326397,44.6428571428571,10.48,7.23124009167081, , 1.197
9361, 13358, 17795, , ,,,2.86454771,+16.49776159,224.215246636771, 8.13,1.37667429356071,K5          , 1.670
9362, 13359, 18134, , ,,,2.86466516,-61.61826140,42.8082191780822, 8.86,5.70236419220181,K1V(p)      , 0.851
9363, 13360, 17689, , ,,,2.86468776,+44.89423892,261.780104712042, 6.56,-0.529683185441456,K0          , 1.159
9364, 13363, 17926, 858,,          , ,2.86560067,-30.81477504,32.071840923669, 6.38,3.84938055426411,F6V         , 0.484
9365, 13364, 17821, , ,,,2.86606642,+11.30668828,132.275132275132, 8.38,2.77260897750603,F0          , 0.455
9366, 13365, 18023, , ,,,2.86616398,-49.87014055,131.233595800525, 7.05,1.459774856698,G8/K0III/IV , 1.015
9367, 13366, 17820, , ,,,2.86620365,+11.37105887,65.0195058517555, 8.38,4.31478167732706,G5          , 0.564
9368, 13367, 17463, 829,,          , ,2.866319,+68.88851683,432.900432900433, 5.94,-2.24194010053928,F5:Ib-II    , 0.700
9369, 13368, 17909, , ,,,2.86647932,-18.36084283,247.524752475248, 8.68,1.71190682555303,F0V         , 0.438
9370, 13370, 18035, , ,,,2.86699745,-50.21209293,277.777777777778, 7.80,0.581512503836437,K0III       , 1.285
9371, 13371, 17655, , ,,,2.86700372,+52.19992942,232.558139534884, 8.06,1.22734227789793,K0          , 1.094
9372, 13372, 17759, , ,,,2.86708512,+32.74204497,389.105058365759, 8.66,0.709665616656474,A0          , 0.189
9373, 13374, 17777, , ,,,2.86802786,+30.19293242,74.2942050520059, 8.16,3.80522529943979,F0          , 0.461
9374, 13375, ,,Gl 116   ,, ,2.86845371,+34.39175902,14.2470437384243, 9.60,8.83137621206107,K6:         , 1.315
9375, 13376, 17540, , ,,,2.86851016,+65.63521766,265.957446808511, 7.29,0.165939224638305,A2          , 0.153
9376, 13377, 17787, , ,,,2.86893606,+30.52392506,158.982511923688, 8.10,2.09325322722635,A0          , 0.132
9377, 13378, 17758, , ,,,2.86980464,+37.09412821,606.060606060606, 6.93,-1.98258027893047,K0          , 1.469
9378, 13379, 17873, , ,,,2.86990497,-00.65029366,217.391304347826, 7.82,1.13378915840787,A3III       , 0.145
9379, 13381, 18110, , ,,,2.8700363,-56.98871400,119.331742243437, 8.29,2.90622009315138,G0V         , 0.628
9380, 13382, 17803, , ,,,2.87013247,+25.19839234,250.62656641604, 8.99,1.99486447843374,G0          , 0.978
9381, 13384, 17895, , ,,,2.870607,-08.26702678,337.837837837838, 7.03,-0.613541444705305,M5IIIvar    , 1.433
9382, 13387, 18185, 866,,          , ,2.87192948,-62.90959822,169.779286926995, 6.03,-0.119423526064491,K1III       , 1.249
9383, 13388, 17970,,NN 3187  ,, ,2.87205187,-33.45065753,26.0078023407022, 8.09,6.01448172068725,K1V         , 0.827
9384, 13389, ,,Gl 118   ,, ,2.87246663,-63.68135287,11.5061557933494,11.36,11.0553487496171,M           , 1.549
9385, 13392, 18278, , ,,,2.87278724,-67.30713946,125.944584382872, 7.94,2.43910251213548,K3III       , 1.216
9386, 13393, 17756, , ,,,2.87291075,+42.02097538,395.256916996047, 6.84,-1.14439739412091,K0          , 1.147
9387, 13394, 17591, , ,,,2.87293911,+63.41006580,30.3398058252427, 6.78,4.36993601512539,G0          , 0.574
9388, 13395, 17801, , ,,,2.87308336,+30.18165816,2325.58139534884, 7.96,-3.87265772210207,A0          , 0.196
9389, 13396, 18022, , ,,,2.87349189,-41.15083124,331.12582781457, 8.49,0.890034714785755,A1V         , 0.105
9390, 13398, ,,NN 3186  ,, ,2.87361721,+26.97554256,26.4900662251656,10.86,8.74458477982603, , 1.260
9391, 13399, 18170, , ,,,2.87400215,-59.93162426,95.1474785918173, 8.29,3.39801358014121,G8V         , 0.740
9392, 13400, 18109, , ,,,2.87462324,-52.88733020,96.6183574879227, 8.24,3.31470174896468,F5V         , 0.476
9393, 13401, 17980, , ,,,2.87549853,-27.95768408,473.9336492891, 7.05,-1.32858772351153,K1III       , 1.236
9394, 13402, 17925, 857,Gl 117   ,          , ,2.87552516,-12.76925369,10.3809820409011, 6.05,5.96880780143082,K1V         , 0.862
9395, 13404,232722, , ,,,2.87564382,+53.37735180,5882.35294117647, 8.49,-5.35775539310863,K5          , 1.948
9396, 13407, 17745, , ,,,2.877439,+48.42010715,190.839694656489, 8.39,1.98665643491864,A0          , 0.155
9397, 13408, 17907, , ,,,2.87767628,+06.47484549,252.525252525253, 7.11,0.098475929627563,B9          ,-0.005
9398, 13410, , , ,,,2.87774971,+05.71800653,43.7828371278459,10.32,7.11348049786905,K7V:        , 1.034
9399, 13409, 17744, , ,,,2.87775224,+48.81661390,152.439024390244, 7.06,1.1445191968783,A0          ,-0.010
9400, 13411, 18001, , ,,,2.87808001,-31.56244034,51.2295081967213, 8.51,4.96239906665337,G3V         , 0.636
9401, 13412, , , ,,,2.87814821,+03.28057994,39.2310710082385,12.08,9.11184917734634,M1          , 1.456
9402, 13413, 17377, , ,,,2.87844042,+74.73814720,142.857142857143, 7.64,1.86549020007128,A2          , 0.176
9403, 13414, 18055, , ,,,2.87876135,-41.39199816,129.198966408269, 6.67,1.11370480341446,A4V         , 0.170
9404, 13416, 17977, , ,,,2.87912395,-21.23138636,299.40119760479, 7.86,0.478732334057824,K0III       , 0.983
9405, 13417, 18048, , ,,,2.87918076,-36.84656518,549.450549450549, 7.89,-0.809643060074627,K3III       , 1.383
9406, 13418, 17870, , ,,,2.87969068,+20.12501879,289.017341040462, 8.86,1.55538049396388,G5          , 1.057
9407, 13419, 17965, , ,,,2.87986452,-16.61873608,100.200400801603, 8.01,3.00565270643686,F2V         , 0.398
9408, 13421, 17943, 859,,          , ,2.88074279,-09.44133236,100.603621730382, 6.31,1.29693192198657,A7IV        , 0.196
9409, 13422, 17912, , ,,,2.88080761,+08.61034339,156.494522691706, 8.70,2.727504290792,A5          , 0.251
9410, 13423, 17851, , ,,,2.88104944,+28.07664837,10000000, 8.70,-6.3,K0          , 1.058
9411, 13424, 17743, 846,,          , ,2.88111841,+52.99738986,309.597523219814, 6.35,-1.10398738834449,B8III       , 0.093
9412, 13425, 18117, , ,,,2.88114924,-48.15307147,99.1080277502478, 8.80,3.81945583118455,F7V         , 0.518
9413, 13428, 17441, , ,,,2.88177421,+73.27724653,147.058823529412, 7.21,1.37254456353118,G5          , 1.085
